Name,Comedy,Action,Fantasy,Adventure,Kids,Drama,Sci-Fi,Music,Shounen,Slice of Life,Romance,School,Supernatural,Hentai,Historical,Mecha,Magic,Seinen,Ecchi,Mystery,Sports,Shoujo,Parody,Super Power,Military,Dementia,Demons,Space,Horror,Martial Arts,Harem,Game,Psychological,Police,Samurai,Vampire,Cars,Thriller,Shounen Ai,Josei,Shoujo Ai,Unknown,Yaoi,Yuri,Genres
Cowboy Bebop,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
Cowboy Bebop: Tengoku no Tobira,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Action, Drama, Mystery, Sci-Fi, Space"
Trigun,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
Witch Hunter Robin,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Action, Mystery, Police, Supernatural, Drama, Magic"
Bouken Ou Beet,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Shounen, Supernatural"
Eyeshield 21,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Action, Sports, Comedy, Shounen"
Hachimitsu to Clover,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Comedy, Drama, Josei, Romance, Slice of Life"
Hungry Heart: Wild Striker,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Sports, Shounen"
Initial D Fourth Stage,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,"Action, Cars, Sports, Drama, Seinen"
Monster,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
Naruto,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
One Piece,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Tennis no Ouji-sama,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Sports, School, Shounen"
Ring ni Kakero 1,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Action, Shounen, Sports"
School Rumble,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Romance, School, Shounen"
Sunabouzu,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen"
Texhnolyze,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,"Action, Sci-Fi, Psychological, Drama"
Trinity Blood,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"Action, Supernatural, Vampire"
Yakitate!! Japan,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Shounen"
Zipang,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Historical, Drama, Seinen"
Neon Genesis Evangelion,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
Neon Genesis Evangelion: Death & Rebirth,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,"Drama, Mecha, Psychological, Sci-Fi"
Neon Genesis Evangelion: The End of Evangelion,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,"Sci-Fi, Dementia, Psychological, Drama, Mecha"
Kenpuu Denki Berserk,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
Koukaku Kidoutai,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,"Samurai, Historical, Drama, Shounen"
Akira,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen"
.hack//Sign,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy"
Aa! Megami-sama!,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! (TV),1.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Supernatural, Magic, Romance, Seinen"
Tenshi Kinryouku,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Action, Drama, Romance, Shoujo, Supernatural"
Kidou Tenshi Angelic Layer,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Comedy, Sports, Drama, Shounen"
Ai Yori Aoshi,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Harem, Slice of Life, Comedy, Drama, Romance"
Appleseed (Movie),,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
Arc the Lad,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Action, Adventure, Fantasy, Horror, Sci-Fi"
Avenger,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Sci-Fi, Shounen"
Beck,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Music, Shounen, Slice of Life"
Blue Gender,,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
Chobits,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
Chrno Crusade,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,"Action, Demons, Historical, Romance, Shounen, Supernatural"
D.N.Angel,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
D.C.: Da Capo,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Harem, Drama, Magic, Romance"
DearS,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen"
Rozen Maiden,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Drama, Magic, Seinen"
Rozen Maiden: Träumend,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Drama, Magic, Seinen"
Azumanga Daioh,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, School"
Basilisk: Kouga Ninpou Chou,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy"
Black Cat (TV),1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Adventure, Comedy, Super Power, Shounen"
Cluster Edge,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Fantasy, Military, Sci-Fi"
Full Metal Panic!,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Comedy, Mecha"
Full Metal Panic? Fumoffu,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, School"
Full Metal Panic! The Second Raid,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Military, Mecha"
Gakuen Alice,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,"Comedy, School, Shoujo, Super Power"
Soukyuu no Fafner: Dead Aggressor,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Sci-Fi"
Mahou Shoujo Lyrical Nanoha,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Drama, Magic, Super Power"
Mahou Shoujo Lyrical Nanoha A's,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Drama, Magic, Super Power"
Shuffle!,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen"
Mobile Suit Gundam,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Space, Mecha"
Mobile Suit Gundam: The 08th MS Team,,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi"
Mobile Suit Gundam 0080: War in the Pocket,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam: The 08th MS Team - Miller's Report,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Military, Sci-Fi, Drama, Romance, Mecha"
Mobile Suit Gundam 0083: Stardust Memory,,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Mobile Suit Zeta Gundam,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Military, Sci-Fi, Space, Drama, Romance, Mecha"
Mobile Suit Gundam ZZ,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Space, Comedy, Mecha, Military, Drama, Sci-Fi"
Mobile Suit Gundam: Char's Counterattack,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam F91,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Drama, Mecha, Military, Sci-Fi, Space"
Mobile Suit Victory Gundam,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Drama, Mecha, Military, Sci-Fi, Space"
Mobile Suit Gundam Wing,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam Wing: Endless Waltz,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Sci-Fi, Space"
After War Gundam X,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Sci-Fi, Adventure, Space, Drama, Mecha"
Mobile Suit Gundam SEED,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Mobile Suit Gundam SEED Destiny,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Turn A Gundam,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Mobile Fighter G Gundam,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports"
Last Exile,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Sci-Fi, Adventure"
Mai-HiME,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
Mai-Otome,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Fantasy, Magic"
Shin Shirayuki-hime Densetsu Prétear,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
